company,tier,website,careers_url,ats_platform,slug,status,notes,detected_at
Boeing,Prime,boeing.com,https://jobs.boeing.com/,workday,wd1,ok,API intercepted: https://tbcdn.talentbrew.com/company/185/css/58479-GST.css,2026-06-06
Lockheed Martin,Prime,lockheedmartin.com,https://www.lockheedmartin.com/en-us/careers/index.html,brassring,,ok,,2026-06-06
Northrop Grumman,Prime,northropgrumman.com,https://www.northropgrumman.com/careers,unknown,,ok,,2026-06-06
RTX,Prime,rtx.com,https://careers.rtx.com/global/en,workday,wd5,ok,API intercepted: https://cdn.phenompeople.com/CareerConnectResources/common/js/globalplatform/177,2026-06-06
General Dynamics,Prime,gd.com,https://www.gd.com/careers,unknown,,ok,,2026-06-06
L3Harris,Prime,l3harris.com,https://careers.l3harris.com/en?rid=5411,talentbrew,,ok,API intercepted: https://tbcdn.talentbrew.com/company/4832/css/61181-GST.css,2026-06-06
Textron,Prime,textron.com,https://careers.textron.com/,taleo,,ok,,2026-06-06
Airbus (North America),Prime,airbus.com,https://www.airbus.com/en/careers,workday,wd3,ok,,2026-06-06
Bombardier,Prime,bombardier.com,https://jobs.bombardier.com/?locale=en_US,successfactors,,ok,API intercepted: https://rmkcdn.successfactors.com/bf145f74/7533c436-f9a4-4b88-a27a-3.css,2026-06-06
CAE,Prime,cae.com,https://www.cae.com/careers,workday,wd3,ok,,2026-06-06
Bell (Textron),Prime,bellflight.com,https://www.bellflight.com/company/careers,taleo,,ok,,2026-06-06
Sikorsky (Lockheed),Tier 1,sikorsky.com,,unknown,,not_found,,2026-06-06
Collins Aerospace (RTX),Tier 1,collinsaerospace.com,https://careers.rtx.com/global/en/collins-aerospace,workday,wd5,ok,API intercepted: https://cdn.phenompeople.com/CareerConnectResources/common/js/globalplatform/177,2026-06-06
Pratt & Whitney (RTX),Tier 1,prattwhitney.com,https://careers.rtx.com/global/en/pratt-whitney,workday,wd5,ok,API intercepted: https://cdn.phenompeople.com/CareerConnectResources/common/js/globalplatform/177,2026-06-06
GE Aerospace,Tier 1,geaerospace.com,https://www.geaerospace.com/company/careers,unknown,,ok,,2026-06-06
Honeywell Aerospace,Tier 1,honeywell.com,,unknown,,not_found,,2026-06-06
Parker Hannifin,Tier 1,parker.com,,unknown,,not_found,,2026-06-06
TransDigm Group,Tier 1,transdigm.com,,unknown,,not_found,,2026-06-06
Moog Inc,Tier 1,moog.com,https://www.moog.com/content/sites/global/en/careers/,workday,wd5,ok,,2026-06-06
Spirit AeroSystems,Tier 1,spiritaero.com,https://careers.spiritaero.com/,icims,,ok,,2026-06-06
Ducommun,Tier 1,ducommun.com,https://www.ducommun.com/careers/,unknown,,ok,,2026-06-06
Triumph Group,Tier 1,triumphgroup.com,https://www.triumphgroup.com/careers,unknown,,ok,,2026-06-06
Kaman Aerospace,Tier 1,kaman.com,https://kaman.com/contact/careers/,adp,,ok,,2026-06-06
Curtiss-Wright,Tier 1,curtisswright.com,https://curtisswright.com/careers,workday,wd1,ok,,2026-06-06
Woodward,Tier 1,woodward.com,https://www.woodward.com/careers/,workday,wd5,ok,,2026-06-06
Mercury Systems,Tier 1,mercury.com,https://mercury.com/jobs,greenhouse,mercury,ok,,2026-06-06
Astronics Corporation,Tier 1,astronics.com,https://www.astronics.com/careers,unknown,,ok,,2026-06-06
Crane Aerospace,Tier 1,craneae.com,https://www.craneae.com/company/careers,workday,wd5,ok,,2026-06-06
HEICO Corporation,Tier 1,heico.com,https://careers.heico.com/,adp,,ok,,2026-06-06
Safran (North America),Tier 1,safran-group.com,https://careers.safran-group.com/accueil.aspx?LCID=1036,unknown,,ok,,2026-06-06
Leonardo DRS,Tier 1,leonardodrs.com,https://www.leonardodrs.com/careers/,unknown,,ok,,2026-06-06
Elbit Systems of America,Tier 1,elbitsystems-us.com,https://www.elbitamerica.com/careers,unknown,,ok,,2026-06-06
AAR Corp,MRO,aarcorp.com,https://www.aarcorp.com/en/careers,taleo,,ok,,2026-06-06
StandardAero,MRO,standardaero.com,,unknown,,not_found,,2026-06-06
Duncan Aviation,MRO,duncanaviation.aero,https://duncanaviation.workgr8.com/,unknown,,ok,,2026-06-06
West Star Aviation,MRO,weststaraviation.com,https://weststaraviation.workgr8.com/,unknown,,ok,,2026-06-06
HAECO Americas,MRO,haeco.com,https://www.haeco.com/en/careers,unknown,,ok,,2026-06-06
