company,title,job_id,location,country,salary,remote,seniority,us_citizenship_required,security_clearance,relocation_assistance,source_platform,date_posted,scraped_at,apply_url,description_text
Bell (Textron),,1530522,,United States of America,,onsite,mid,unknown,unknown,unknown,taleo,N/A,2026-06-07T18:02:26.541214+00:00,https://textron.taleo.net/careersection/bell/jobdetail.ftl?job=1530522,
Bell (Textron),,1524367,,United States of America,,onsite,mid,unknown,unknown,unknown,taleo,N/A,2026-06-07T18:02:26.541530+00:00,https://textron.taleo.net/careersection/bell/jobdetail.ftl?job=1524367,
Bell (Textron),,1532429,,United States of America,,onsite,mid,unknown,unknown,unknown,taleo,N/A,2026-06-07T18:02:26.541549+00:00,https://textron.taleo.net/careersection/bell/jobdetail.ftl?job=1532429,
Bell (Textron),,1533843,,United States of America,,onsite,mid,unknown,unknown,unknown,taleo,N/A,2026-06-07T18:02:26.541565+00:00,https://textron.taleo.net/careersection/bell/jobdetail.ftl?job=1533843,
Bell (Textron),,1532373,,United States of America,,onsite,mid,unknown,unknown,unknown,taleo,N/A,2026-06-07T18:02:26.541581+00:00,https://textron.taleo.net/careersection/bell/jobdetail.ftl?job=1532373,
Bell (Textron),,1532017,,United States of America,,onsite,mid,unknown,unknown,unknown,taleo,N/A,2026-06-07T18:02:26.541599+00:00,https://textron.taleo.net/careersection/bell/jobdetail.ftl?job=1532017,
Bell (Textron),,1536410,,United States of America,,onsite,mid,unknown,unknown,unknown,taleo,N/A,2026-06-07T18:02:26.541615+00:00,https://textron.taleo.net/careersection/bell/jobdetail.ftl?job=1536410,
Bell (Textron),,1537292,,United States of America,,onsite,mid,unknown,unknown,unknown,taleo,N/A,2026-06-07T18:02:26.541630+00:00,https://textron.taleo.net/careersection/bell/jobdetail.ftl?job=1537292,
Bell (Textron),,1537276,,United States of America,,onsite,mid,unknown,unknown,unknown,taleo,N/A,2026-06-07T18:02:26.541647+00:00,https://textron.taleo.net/careersection/bell/jobdetail.ftl?job=1537276,
Bell (Textron),,1536546,,United States of America,,onsite,mid,unknown,unknown,unknown,taleo,N/A,2026-06-07T18:02:26.541662+00:00,https://textron.taleo.net/careersection/bell/jobdetail.ftl?job=1536546,
Bell (Textron),,1532723,,United States of America,,onsite,mid,unknown,unknown,unknown,taleo,N/A,2026-06-07T18:02:26.541677+00:00,https://textron.taleo.net/careersection/bell/jobdetail.ftl?job=1532723,
Bell (Textron),,1537313,,United States of America,,onsite,mid,unknown,unknown,unknown,taleo,N/A,2026-06-07T18:02:26.541693+00:00,https://textron.taleo.net/careersection/bell/jobdetail.ftl?job=1537313,
Bell (Textron),,1536333,,United States of America,,onsite,mid,unknown,unknown,unknown,taleo,N/A,2026-06-07T18:02:26.541708+00:00,https://textron.taleo.net/careersection/bell/jobdetail.ftl?job=1536333,
Bell (Textron),,1537646,,United States of America,,onsite,mid,unknown,unknown,unknown,taleo,N/A,2026-06-07T18:02:26.541723+00:00,https://textron.taleo.net/careersection/bell/jobdetail.ftl?job=1537646,
Bell (Textron),,1538386,,United States of America,,onsite,mid,unknown,unknown,unknown,taleo,N/A,2026-06-07T18:02:26.541738+00:00,https://textron.taleo.net/careersection/bell/jobdetail.ftl?job=1538386,
Bell (Textron),,1536593,,United States of America,,onsite,mid,unknown,unknown,unknown,taleo,N/A,2026-06-07T18:02:26.541753+00:00,https://textron.taleo.net/careersection/bell/jobdetail.ftl?job=1536593,
Bell (Textron),,1538986,,United States of America,,onsite,mid,unknown,unknown,unknown,taleo,N/A,2026-06-07T18:02:26.541768+00:00,https://textron.taleo.net/careersection/bell/jobdetail.ftl?job=1538986,
