company,title,job_id,location,country,salary,remote,seniority,us_citizenship_required,security_clearance,relocation_assistance,source_platform,date_posted,scraped_at,apply_url,description_text
L3Harris,US Domestic Regional Growth Director - Remote,96319806736,"Bingen, Washington",United States of America,,onsite,director,unknown,unknown,unknown,talentbrew,N/A,2026-06-12T01:01:05.072625+00:00,https://careers.l3harris.com/job/bingen/us-domestic-regional-growth-director-remote/185/96319806736,
L3Harris,International Business Development Specialist &#x2013; Middle East and North Africa - Remote,96319806704,"Washington D.C., District of Columbia",United States of America,,onsite,junior,unknown,unknown,unknown,talentbrew,N/A,2026-06-12T01:01:05.073039+00:00,https://careers.l3harris.com/job/washington-d-c/international-business-development-specialist-middle-east-and-north-africa-remote/185/96319806704,
L3Harris,Business Development Specialist &#x2013; Domestic / US Army &#x2013; Remote,96319806688,"Washington D.C., District of Columbia",United States of America,,onsite,mid,unknown,unknown,unknown,talentbrew,N/A,2026-06-12T01:01:05.073056+00:00,https://careers.l3harris.com/job/washington-d-c/business-development-specialist-domestic-us-army-remote/185/96319806688,
L3Harris,Senior Software Engineer - Simulation - Hybrid - Relocation Assistance Available,96319806672,"Bingen, Washington",United States of America,,onsite,senior,unknown,unknown,unknown,talentbrew,N/A,2026-06-12T01:01:05.073069+00:00,https://careers.l3harris.com/job/bingen/senior-software-engineer-simulation-hybrid-relocation-assistance-available/185/96319806672,
L3Harris,Manufacturing Repair Technician - 100% Onsite,96319806656,"Bingen, Washington",United States of America,,onsite,mid,unknown,unknown,unknown,talentbrew,N/A,2026-06-12T01:01:05.073082+00:00,https://careers.l3harris.com/job/bingen/manufacturing-repair-technician-100-onsite/185/96319806656,
L3Harris,Business Process Analyst,96317321824,"Auburn, Washington; and other locations",United States of America,,onsite,mid,unknown,unknown,unknown,talentbrew,N/A,2026-06-12T01:01:05.073096+00:00,https://careers.l3harris.com/job/auburn/business-process-analyst/185/96317321824,
L3Harris,Procurement Agent,96317321808,"Everett, Washington",United States of America,,onsite,mid,unknown,unknown,unknown,talentbrew,N/A,2026-06-12T01:01:05.073108+00:00,https://careers.l3harris.com/job/everett/procurement-agent/185/96317321808,
L3Harris,MQ-25 Vehicle Management System (VMS) Entry Level Software Engineer,96317321184,"Hazelwood, Missouri",United States of America,,onsite,junior,unknown,unknown,unknown,talentbrew,N/A,2026-06-12T01:01:05.073121+00:00,https://careers.l3harris.com/job/hazelwood/mq-25-vehicle-management-system-vms-entry-level-software-engineer/185/96317321184,
L3Harris,Quality Production Specialist,96317319984,"Jacksonville, Florida",United States of America,,onsite,mid,unknown,unknown,unknown,talentbrew,N/A,2026-06-12T01:01:05.073134+00:00,https://careers.l3harris.com/job/jacksonville/quality-production-specialist/185/96317319984,
L3Harris,Machinist,96312265824,"Helena, Montana",United States of America,,onsite,mid,unknown,unknown,unknown,talentbrew,N/A,2026-06-12T01:01:05.073146+00:00,https://careers.l3harris.com/job/helena/machinist/185/96312265824,
L3Harris,SAP S/4 Strategy &amp; Architecture Senior Manager,96048321264,"Renton, Washington; and other locations",United States of America,,onsite,lead,unknown,unknown,unknown,talentbrew,N/A,2026-06-12T01:01:05.073158+00:00,https://careers.l3harris.com/job/renton/sap-s-4-strategy-and-architecture-senior-manager/185/96048321264,
L3Harris,Supply Base Management Spec (Supply Base Mgmt),96317317856,"Tukwila, Washington",United Kingdom,,onsite,mid,unknown,unknown,unknown,talentbrew,N/A,2026-06-12T01:01:05.073171+00:00,https://careers.l3harris.com/job/tukwila/supply-base-management-spec-supply-base-mgmt/185/96317317856,
L3Harris,Test and Evaluation Software Engineer (Associate or MId-Level),96317317408,"El Segundo, California; and other locations",United States of America,,onsite,junior,unknown,unknown,unknown,talentbrew,N/A,2026-06-12T01:01:05.073184+00:00,https://careers.l3harris.com/job/el-segundo/test-and-evaluation-software-engineer-associate-or-mid-level/185/96317317408,
L3Harris,737 Business Operations Specialist,96317315984,"Seattle, Washington; and other locations",United States of America,,onsite,mid,unknown,unknown,unknown,talentbrew,N/A,2026-06-12T01:01:05.073197+00:00,https://careers.l3harris.com/job/seattle/737-business-operations-specialist/185/96317315984,
L3Harris,Senior Program Management Specialist,96317315920,"Albuquerque, New Mexico",United States of America,,onsite,senior,unknown,unknown,unknown,talentbrew,N/A,2026-06-12T01:01:05.073209+00:00,https://careers.l3harris.com/job/albuquerque/senior-program-management-specialist/185/96317315920,
L3Harris,Senior Business Analyst,96317315664,"Seattle, Washington; and other locations",United States of America,,onsite,senior,unknown,unknown,unknown,talentbrew,N/A,2026-06-12T01:01:08.446941+00:00,https://careers.l3harris.com/job/seattle/senior-business-analyst/185/96317315664,
L3Harris,Business Analyst,96002598448,"Everett, Washington; and other locations",United States of America,,onsite,mid,unknown,unknown,unknown,talentbrew,N/A,2026-06-12T01:01:08.446965+00:00,https://careers.l3harris.com/job/everett/business-analyst/185/96002598448,
L3Harris,Special Projects Mechanic B- 98206,96317312848,"Puyallup, Washington",United States of America,,onsite,mid,unknown,unknown,unknown,talentbrew,N/A,2026-06-12T01:01:08.446980+00:00,https://careers.l3harris.com/job/puyallup/special-projects-mechanic-b-98206/185/96317312848,
L3Harris,Senior Software Lead,96317312672,"El Segundo, California; and other locations",United States of America,,onsite,senior,unknown,unknown,unknown,talentbrew,N/A,2026-06-12T01:01:08.446992+00:00,https://careers.l3harris.com/job/el-segundo/senior-software-lead/185/96317312672,
L3Harris,Flight Software Engineers (Associate / Experienced / Senior),96042682240,"El Segundo, California; and other locations",United States of America,,onsite,senior,unknown,unknown,unknown,talentbrew,N/A,2026-06-12T01:01:08.447005+00:00,https://careers.l3harris.com/job/el-segundo/flight-software-engineers-associate-experienced-senior/185/96042682240,
L3Harris,Associate System Administrator,96317312400,"Daytona Beach, Florida; and other locations",United States of America,,onsite,junior,unknown,unknown,unknown,talentbrew,N/A,2026-06-12T01:01:08.447018+00:00,https://careers.l3harris.com/job/daytona-beach/associate-system-administrator/185/96317312400,
L3Harris,"Application Software Engineer (Experienced or Senior), Phantom Works",96317311168,"Berkeley, Missouri",United States of America,,onsite,senior,unknown,unknown,unknown,talentbrew,N/A,2026-06-12T01:01:08.447031+00:00,https://careers.l3harris.com/job/berkeley/application-software-engineer-experienced-or-senior-phantom-works/185/96317311168,
L3Harris,Software Engineer&#x2013;Developer (Experienced and Senior),95683573552,"Oklahoma City, Oklahoma",United States of America,,onsite,senior,unknown,unknown,unknown,talentbrew,N/A,2026-06-12T01:01:08.447043+00:00,https://careers.l3harris.com/job/oklahoma-city/software-engineer-developer-experienced-and-senior/185/95683573552,
L3Harris,Assembly Mechanic-Composite Fabrication,95678809952,"Berkeley, Missouri; and other locations",United States of America,,onsite,mid,unknown,unknown,unknown,talentbrew,N/A,2026-06-12T01:01:08.447056+00:00,https://careers.l3harris.com/job/berkeley/assembly-mechanic-composite-fabrication/185/95678809952,
