company,title,job_id,location,country,salary,remote,seniority,us_citizenship_required,security_clearance,relocation_assistance,source_platform,date_posted,scraped_at,apply_url,description_text
Bombardier,,11943,"Dorval, QC, CAN, H4S 1Y9",Canada,,onsite,mid,unknown,unknown,unknown,successfactors,N/A,2026-06-12T00:53:28.707636+00:00,https://jobs.bombardier.com/job/11943,
Bombardier,,11658,"Dorval, QC, CAN, H4S 1Y9",Canada,,onsite,mid,unknown,unknown,unknown,successfactors,N/A,2026-06-12T00:53:28.708423+00:00,https://jobs.bombardier.com/job/11658,
Bombardier,,10645,"Mississauga, ON, CAN, L5S 1W1",United States of America,,onsite,mid,unknown,unknown,unknown,successfactors,N/A,2026-06-12T00:53:28.708450+00:00,https://jobs.bombardier.com/job/10645,
Bombardier,,13744,"Dorval, QC, CAN, H4S 1Y9",Canada,,onsite,mid,unknown,unknown,unknown,successfactors,N/A,2026-06-12T00:53:28.708471+00:00,https://jobs.bombardier.com/job/13744,
Bombardier,,12920,"Dorval, QC, CAN, H4S 1Y9",Canada,,onsite,mid,unknown,unknown,unknown,successfactors,N/A,2026-06-12T00:53:28.708492+00:00,https://jobs.bombardier.com/job/12920,
Bombardier,,13788,"Dorval, QC, CAN, H4S 1Y9",Canada,,onsite,mid,unknown,unknown,unknown,successfactors,N/A,2026-06-12T00:53:28.708513+00:00,https://jobs.bombardier.com/job/13788,
Bombardier,,10610,"St-Laurent, QC, CAN, H4R 1K2",United States of America,,onsite,mid,unknown,unknown,unknown,successfactors,N/A,2026-06-12T00:53:28.708536+00:00,https://jobs.bombardier.com/job/10610,
Bombardier,,11805,"Mississauga, ON, CAN, L5S 1W1",United States of America,,onsite,mid,unknown,unknown,unknown,successfactors,N/A,2026-06-12T00:53:28.708558+00:00,https://jobs.bombardier.com/job/11805,
Bombardier,,13777,"Dorval, QC, CAN, H4S 1Y9",Canada,,onsite,mid,unknown,unknown,unknown,successfactors,N/A,2026-06-12T00:53:28.708579+00:00,https://jobs.bombardier.com/job/13777,
Bombardier,,13758,"Dorval, QC, CAN, H4S 1Y9",Canada,,onsite,mid,unknown,unknown,unknown,successfactors,N/A,2026-06-12T00:53:28.708600+00:00,https://jobs.bombardier.com/job/13758,
