company,title,job_id,location,country,salary,remote,seniority,us_citizenship_required,security_clearance,relocation_assistance,source_platform,date_posted,scraped_at,apply_url,description_text
General Dynamics,"Requisition Title
Logistics Specialist I",36396,,United States of America,,unknown,mid,unknown,unknown,unknown,icims,N/A,2026-06-12T00:29:13.580937+00:00,https://careers-gd-ots.icims.com/jobs/36396/logistics-specialist-i/job,
General Dynamics,"Requisition Title
Sr Manufacturing Engineer",36391,,United States of America,,unknown,senior,unknown,unknown,unknown,icims,N/A,2026-06-12T00:29:13.583847+00:00,https://careers-gd-ots.icims.com/jobs/36391/sr-manufacturing-engineer/job,
General Dynamics,"Requisition Title
Automation Eng Technician I",36389,,United States of America,,unknown,mid,unknown,unknown,unknown,icims,N/A,2026-06-12T00:29:13.586297+00:00,https://careers-gd-ots.icims.com/jobs/36389/automation-eng-technician-i/job,
General Dynamics,"Requisition Title
EHS Specialist II",36388,,United States of America,,unknown,mid,unknown,unknown,unknown,icims,N/A,2026-06-12T00:29:13.588698+00:00,https://careers-gd-ots.icims.com/jobs/36388/ehs-specialist-ii/job,
General Dynamics,"Requisition Title
Master Fabricator Machinist - 3rd Shift",36387,,United States of America,,unknown,mid,unknown,unknown,unknown,icims,N/A,2026-06-12T00:29:13.590891+00:00,https://careers-gd-ots.icims.com/jobs/36387/master-fabricator-machinist---3rd-shift/job,
General Dynamics,"Requisition Title
Engineering Specialist II",36386,,United States of America,,unknown,mid,unknown,unknown,unknown,icims,N/A,2026-06-12T00:29:13.593004+00:00,https://careers-gd-ots.icims.com/jobs/36386/engineering-specialist-ii/job,
General Dynamics,"Requisition Title
Engineer II",36385,,United States of America,,unknown,mid,unknown,unknown,unknown,icims,N/A,2026-06-12T00:29:13.595123+00:00,https://careers-gd-ots.icims.com/jobs/36385/engineer-ii/job,
General Dynamics,"Requisition Title
Senior Engineer",36384,,United States of America,,unknown,senior,unknown,unknown,unknown,icims,N/A,2026-06-12T00:29:13.597203+00:00,https://careers-gd-ots.icims.com/jobs/36384/senior-engineer/job,
General Dynamics,"Requisition Title
Supervisor, Production",36381,,United States of America,,unknown,mid,unknown,unknown,unknown,icims,N/A,2026-06-12T00:29:13.599357+00:00,https://careers-gd-ots.icims.com/jobs/36381/supervisor%2c-production/job,
General Dynamics,"Requisition Title
Fabricator - 3rd Shift",36379,,United States of America,,unknown,mid,unknown,unknown,unknown,icims,N/A,2026-06-12T00:29:13.601348+00:00,https://careers-gd-ots.icims.com/jobs/36379/fabricator---3rd-shift/job,
