company,title,job_id,location,country,salary,remote,seniority,us_citizenship_required,security_clearance,relocation_assistance,source_platform,date_posted,scraped_at,apply_url,description_text
Joby Aviation,"Title
Actuators Design Engineer (open to senior/staff)",5108,,United States of America,,unknown,Senior,unknown,unknown,unknown,icims,N/A,2026-06-12T23:37:08Z,https://careers-jobyaviation.icims.com/jobs/5108/actuators-design-engineer-%28open-to-senior-staff%29/job,
Joby Aviation,"Title
Additive Design Engineer",4927,,United States of America,,unknown,Mid,unknown,unknown,unknown,icims,N/A,2026-06-12T23:37:08Z,https://careers-jobyaviation.icims.com/jobs/4927/additive-design-engineer/job,
Joby Aviation,"Title
Additive Manufacturing Operator - All Shifts",5010,,United States of America,,unknown,Mid,unknown,unknown,unknown,icims,N/A,2026-06-12T23:37:08Z,https://careers-jobyaviation.icims.com/jobs/5010/additive-manufacturing-operator---all-shifts/job,
Joby Aviation,"Title
AFP Technician - All Shifts",4736,,United States of America,,unknown,Mid,unknown,unknown,unknown,icims,N/A,2026-06-12T23:37:08Z,https://careers-jobyaviation.icims.com/jobs/4736/afp-technician---all-shifts/job,
Joby Aviation,"Title
Aircraft Dynamics & Sim Software Engineer",4762,,United States of America,,unknown,Mid,unknown,unknown,unknown,icims,N/A,2026-06-12T23:37:08Z,https://careers-jobyaviation.icims.com/jobs/4762/aircraft-dynamics-%26-sim-software-engineer/job,
Joby Aviation,"Title
Aircraft Final Integration – Team Leader, Assembly",5150,,United States of America,,unknown,Lead,unknown,unknown,unknown,icims,N/A,2026-06-12T23:37:08Z,https://careers-jobyaviation.icims.com/jobs/5150/aircraft-final-integration-%e2%80%93-team-leader%2c-assembly/job,
Joby Aviation,"Title
Aircraft Final Integration Manufacturing Engineering Lead",5035,,United States of America,,unknown,Mid,unknown,unknown,unknown,icims,N/A,2026-06-12T23:37:08Z,https://careers-jobyaviation.icims.com/jobs/5035/aircraft-final-integration-manufacturing-engineering-lead/job,
Joby Aviation,"Title
Aircraft Inspection Supervisor",4644,,United States of America,,unknown,Mid,unknown,unknown,unknown,icims,N/A,2026-06-12T23:37:08Z,https://careers-jobyaviation.icims.com/jobs/4644/aircraft-inspection-supervisor/job,
Joby Aviation,"Title
Aircraft Integration Assembly Technician",4969,,United States of America,,unknown,Mid,unknown,unknown,unknown,icims,N/A,2026-06-12T23:37:08Z,https://careers-jobyaviation.icims.com/jobs/4969/aircraft-integration-assembly-technician/job,
Joby Aviation,"Title
Aircraft Integration Assembly Technician",5139,,United States of America,,unknown,Mid,unknown,unknown,unknown,icims,N/A,2026-06-12T23:37:08Z,https://careers-jobyaviation.icims.com/jobs/5139/aircraft-integration-assembly-technician/job,
Joby Aviation,"Title
Aircraft Maintenance Systems Program Manager",4491,,United States of America,,unknown,Manager,unknown,unknown,unknown,icims,N/A,2026-06-12T23:37:08Z,https://careers-jobyaviation.icims.com/jobs/4491/aircraft-maintenance-systems-program-manager/job,
Joby Aviation,"Title
Aircraft Maintenance Training Manager",4815,,United States of America,,unknown,Manager,unknown,unknown,unknown,icims,N/A,2026-06-12T23:37:08Z,https://careers-jobyaviation.icims.com/jobs/4815/aircraft-maintenance-training-manager/job,
Joby Aviation,"Title
Aircraft Painter- Experienced",4030,,United States of America,,unknown,Mid,unknown,unknown,unknown,icims,N/A,2026-06-12T23:37:08Z,https://careers-jobyaviation.icims.com/jobs/4030/aircraft-painter--experienced/job,
Joby Aviation,"Title
Airframe & Actuators - Test Engineer (Actuators/Mechanical Systems)",4979,,United States of America,,unknown,Mid,unknown,unknown,unknown,icims,N/A,2026-06-12T23:37:08Z,https://careers-jobyaviation.icims.com/jobs/4979/airframe-%26-actuators---test-engineer-%28actuators-mechanical-systems%29/job,
Joby Aviation,"Title
Airframe Assembly Inspector I (2nd Shift)",4883,,United States of America,,unknown,Mid,unknown,unknown,unknown,icims,N/A,2026-06-12T23:37:08Z,https://careers-jobyaviation.icims.com/jobs/4883/airframe-assembly-inspector-i-%282nd-shift%29/job,
