company,title,job_id,location,country,salary,remote,seniority,us_citizenship_required,security_clearance,relocation_assistance,source_platform,date_posted,scraped_at,apply_url,description_text
Hermeus,Accounts Payable & Travel Expense Manager,88a3b590-a8e1-4309-bc83-8933a0d1c8e1,"Los Angeles, CA",US,,onsite,mid,unknown,unknown,unknown,lever,N/A,2026-06-07T17:00:56.201225+00:00,https://jobs.lever.co/hermeus/88a3b590-a8e1-4309-bc83-8933a0d1c8e1,
Hermeus,Aerodynamics Engineer,c9187245-a6b2-415a-ae4c-14aa18bb4207,"Los Angeles, CA",US,,onsite,mid,unknown,unknown,unknown,lever,N/A,2026-06-07T17:00:56.201439+00:00,https://jobs.lever.co/hermeus/c9187245-a6b2-415a-ae4c-14aa18bb4207,"About The Role: We are seeking an exceptional Aerodynamics Engineer to contribute to the design and analysis of our high super sonic vehicles. As an Aerodynamics Engineer, you will play a crucial role in the development of advanced aerodynamic solutions, ensuring optimal performance, stability, and efficiency during high-speed flight. Join our dynamic team and be part of the journey to create groundbreaking aerospace solutions at an iterative pace not seen since the 60's."
Hermeus,Avionics Electrical Engineer,1fc2f0fb-9961-49d2-93ab-59adc2a0ab9d,"Atlanta, GA",US,,onsite,mid,unknown,unknown,unknown,lever,N/A,2026-06-07T17:00:56.201491+00:00,https://jobs.lever.co/hermeus/1fc2f0fb-9961-49d2-93ab-59adc2a0ab9d,"As an Avionics Electrical Engineer at Hermeus, you will be responsible for the design, testing, and integration of GNC systems, electrical hardware, control software, power distribution, and RF communications for our hypersonic vehicles.&nbsp;"
Hermeus,Avionics Electrical Engineer,9ad6f012-cabb-439f-bd6c-fe967a278bed,"Los Angeles, CA",US,,onsite,mid,unknown,unknown,unknown,lever,N/A,2026-06-07T17:00:56.201540+00:00,https://jobs.lever.co/hermeus/9ad6f012-cabb-439f-bd6c-fe967a278bed,"As an Avionics Electrical Engineer at Hermeus, you will be responsible for the design, testing, and integration of GNC systems, electrical hardware, control software, power distribution, and RF communications for our hypersonic vehicles.&nbsp; &nbsp;"
Hermeus,Avionics Electrical Engineering Intern - Fall 2026,3cee58bc-55ef-4230-acf2-9a2e2851cf43,"Atlanta, GA",US,,onsite,junior,unknown,unknown,unknown,lever,N/A,2026-06-07T17:00:56.201599+00:00,https://jobs.lever.co/hermeus/3cee58bc-55ef-4230-acf2-9a2e2851cf43,"As an Avionics Engineering Intern you will help shape the future of commercial supersonic and hypersonic flight. Our team is responsible for the design, testing, and integration of GNC systems, electrical hardware, control software, power distribution, and RF communications. &nbsp; Fall: Around 16 weeks (August - December) &nbsp;"
Hermeus,Avionics Manufacturing Engineer,6a817380-3349-41ee-bcc7-6bca6c63648d,"Atlanta, GA",US,,onsite,mid,unknown,unknown,unknown,lever,N/A,2026-06-07T17:00:56.201654+00:00,https://jobs.lever.co/hermeus/6a817380-3349-41ee-bcc7-6bca6c63648d,"The Manufacturing Team at Hermeus are the boots on the ground. We have a vast array of experiences ranging from welding, additive, tube bending, machining, integration, and avionics. We are a lean team who are responsible for building a vehicle that will fly. We provide crucial design feedback to our engineering team and can rapidly iterate on design and assembly.&nbsp;"
Hermeus,Avionics Shop Manager,5ffd7b96-64f2-4038-8abf-ae908117b9be,"Los Angeles, CA",US,,onsite,mid,unknown,unknown,unknown,lever,N/A,2026-06-07T17:00:56.201719+00:00,https://jobs.lever.co/hermeus/5ffd7b96-64f2-4038-8abf-ae908117b9be,"As a Manager of the Avionics Build you will have a unique opportunity to build and lead a cross-functional team of individuals that develop wire harnessing and integrated electro-mechanical assemblies.&nbsp; You will be responsible for standing up and optimizing end-to-end avionics harnessing and electro-mechanical assembly capabilities that ensure high-speed, high-reliability, manufacturing with a commitment to cost reduction, novel process definition, and rapid iteration.&nbsp;"
Hermeus,Avionics Systems Engineer – Flight Safety Systems (FTS / AFSS),2657e7b0-bfae-4f24-afe3-0f1bc573c721,"Los Angeles, CA",US,,onsite,mid,unknown,unknown,unknown,lever,N/A,2026-06-07T17:00:56.201807+00:00,https://jobs.lever.co/hermeus/2657e7b0-bfae-4f24-afe3-0f1bc573c721,"As an Avionics Systems Engineer, you will be responsible for&nbsp;owning the design, integration, testing, and certification of the Flight Termination System (FTS) hardware and software for advanced flight vehicles. You will work closely with cross-functional teams across avionics, electrical, mechanical, and ground systems engineering to ensure seamless system integration and compliance with range safety requirements. In this role, you will coordinate with regulatory authorities, manage system interfaces, and support overall vehicle readiness through development, testing, and flight operations. You will also serve as the technical authority for all Flight Termination System-related activities, ensuring system reliability, documentation, and mission success."
Hermeus,Build Engineer,cc641245-38c3-4c44-8557-db3baf1498fe,"Los Angeles, CA",US,,onsite,mid,unknown,unknown,unknown,lever,N/A,2026-06-07T17:00:56.201860+00:00,https://jobs.lever.co/hermeus/cc641245-38c3-4c44-8557-db3baf1498fe,"This role sits at the intersection of engineering design, manufacturing, integration and test for flight vehicles.&nbsp;You'll be embedded with design and production teams, owning everything from hardware design, tooling, testing and flight readiness to process development and vehicle assembly. We are hiring entry-level through senior-level.&nbsp;"
Hermeus,Build Engineer - Propulsion,d0a4d7af-5325-4bd5-9a07-a74d286ded52,"Los Angeles, CA",US,,onsite,mid,unknown,unknown,unknown,lever,N/A,2026-06-07T17:00:56.201908+00:00,https://jobs.lever.co/hermeus/d0a4d7af-5325-4bd5-9a07-a74d286ded52,"This role sits at the intersection of engineering design, manufacturing, integration and test for flight vehicles. You'll be embedded with design and production teams, owning everything from hardware design, tooling, testing and flight readiness to process development and vehicle assembly."
