row_index,job_id,title,extracted_salary,currency,n_ranges_found,source,status
45,JR101143,HR Manager,120000.0,USD,1,range,filled
177,JR110230,"Manager, Engineering IT Systems",,,0,,malformed_skipped
642,JR101476,Sr. Group Supply Chain Analyst,120000.0,USD,1,range,filled
1048,JR111625,Sourcing  Compliance Specialist (Senior and Level II),,,0,,malformed_skipped
1075,JR101449,Customer Service Admin II,88050.0,USD,1,range,filled
1234,JR111736,WBS Coach (Continuous Improvement Department),,,0,,malformed_skipped
1237,JR110324,Staff/Senior Staff Manufacturing Engineer,,,0,,malformed_skipped
1365,95336249168,Sr. Manager Quality Management,,,0,,malformed_skipped
1613,93722631392,Systems Engineer (Sr. Member Engineering Staff),,,0,,malformed_skipped
1756,96173836064,"Senior Specialist, Category Management",114500.0,USD,1,range,filled
1757,JR2026509326,"Electrical Engineering Manager - Electromagnetic Effects (EME) & Reliability, Maintainability & System Health (RM&SH)",178000.0,USD,1,range,filled
1827,JR110743,Staff / Senior Staff Mechanical Engineer - Flight Control Actuation,,,0,,malformed_skipped
1969,JR111644,"Engineering Manager, Test & Integration Lab",,,0,,malformed_skipped
1994,16295,Program Manager (Level II or III - DOE),154750.0,USD,2,range,filled
2081,JR2026503526,F-15 Mission Systems Integration Architect,167000.0,USD,2,range,filled
2499,95980327536,Operations Program Manager,126000.0,USD,1,range,filled
2540,95091824864,"Senior Specialist, Supply Chain Program Manager",131000.0,USD,1,range,filled
2636,95980327552,Operations Program Manager,137000.0,USD,1,range,filled
2707,JR111209,Supplier Relationship Manager II or III,,,0,,malformed_skipped
2747,96278023120,Senior Program Quality Engineer,,,0,,malformed_skipped
2755,JR2026511002,Manager of Manufacturing Product Owners - Millennium Space Systems,186900.0,USD,1,range,filled
2910,JR111630,Project Coordinator,,,0,,malformed_skipped
2933,JR100729,Software Engineer III/IV,161200.0,USD,2,range,filled
2963,JR101169,Systems Engineer II,110745.3,USD,1,range,filled
2969,JR2026511147,Systems Engineering & Integration Lead,184687.5,USD,2,range,filled
3005,95263602592,"Specialist, Material Planner",99500.0,USD,1,range,filled
3156,96602830416,Production Program Manager,132000.0,USD,1,range,filled
3465,JR2026512265,System Administrator (Experienced or Senior),156500.0,USD,2,range,filled
3469,JR2026511153,IT Systems Specialist (Mid-Level),132000.0,USD,1,range,filled
3509,95263602368,Material Planning Specialist,99000.0,USD,1,range,filled
3533,JR111735,HRIS Analyst,,,0,,malformed_skipped
3604,96035632880,"Lead, Systems Engineering - GPS",,,0,,malformed_skipped
3707,JR2026510210,Systems Engineering Manager,154000.0,USD,1,range,filled
3712,JR111650,PLC Buyer I or II,,,0,,malformed_skipped
3741,JR111188,Aerospace Product Technology Manager II / III,,,0,,malformed_skipped
3785,JR2026505266,Decorative Interior Repairperson - 1604,50585.6,USD,1,hourly_annualized,filled
3840,96278022992,Quality Assurance Engineer,,,0,,malformed_skipped
3861,JR101056,Field Services Engineer III,128050.0,USD,1,range,filled
3903,JR2026514415,Industrial Engineer,108000.0,USD,2,range,filled
4061,JR110796,SAP Basis and Security Administrator,,,0,,malformed_skipped
4250,94353236096,"Senior Manager, Quality Assurance",,,0,,malformed_skipped
4318,JR2026506539,Digital CCA Design (Experienced or Senior),162333.33,USD,3,range,filled
4388,JR2026510620,Systems Engineer (Mid-Level and Senior),152250.0,USD,2,range,filled
4423,96304034336,"Electrical Engineer, Lead",,,0,,malformed_skipped
4522,94728088544,"Lead, Electrical Engineer - Firmware (Field-Programmable Gate Array)",178500.0,USD,1,range,filled
4587,8403223002,Fall 2026 Graduate Engineer Internship/Co-op,,,0,,malformed_skipped
4642,95045911856,Lead Program Management,178500.0,USD,1,range,filled
4670,96304034464,"Senior Specialist, Environmental Health &amp; Safety",131000.0,USD,1,range,filled
4719,JR2026511618,"Manufacturing Engineering Manager, Harnessing - Millennium Space Systems",186900.0,USD,1,range,filled
4744,JR2026503741,Wire Design and Installation Engineer (Experienced or Senior),156500.0,USD,2,range,filled
4750,JR110859,Staff/Senior Staff Embedded Software Engineer,,,0,,malformed_skipped
5146,JR2026504367,Leader of Manufacturing - Millennium Space Systems,224700.0,USD,1,range,filled
5148,JR101622,Customer Account Manager - Landing Systems,165450.0,USD,1,range,filled
5291,JR2025475067,Fighter/Attack Aircrew Training Subject Matter Expert or Senior Consultant,,,0,,malformed_skipped
5297,JR2026511919,"Liaison Engineer, Mid-Career and Senior Level",,,0,,malformed_skipped
5299,5140974007,Software Engineer,,,0,,malformed_skipped
5388,1538531,Project Engineer II/III,,,0,,malformed_skipped
5396,JR101361,Analog Engineer III,149292.17,USD,1,range,filled
5397,JR11241,Senior Principal Systems & Controls Engineer,170000.0,USD,1,range,filled
5498,1539312,Sr IT App Analyst,,,0,,malformed_skipped
5839,95298993088,"Principal, Supply Chain Management",,,0,,malformed_skipped
5870,JR101460,Engineering Manager,179900.0,USD,1,range,filled
6185,JR2026503754,FPGA Design Engineer,133666.67,USD,3,range,filled
6221,JR2026512029,"Associate, Experienced, or Lead Level Aircraft Environmental Control Systems (ECS) Analysis Engineer",132333.33,USD,3,range,filled
6258,JR111834,SAP Source‑to‑Pay IT Analyst,,,0,,malformed_skipped
6260,JR2026514252,Associate Facilities Plant Civil Engineer,,,0,,malformed_skipped
6290,JR111694,Engineer 2 or 3 Applications - Military Marine,,,0,,malformed_skipped
6300,121802,Systems Engineer,161400.0,USD,1,range,filled
6302,JR100466,Production Supervisor II (Electronic Assembly ),119950.0,USD,1,range,filled
6323,JR2026509257,Radar Systems Senior Engineer - Patriot Advanced Capability-3 (PAC-3),,,0,,malformed_skipped
6459,96493661536,Manager Quality Management,166500.0,USD,1,range,filled
6527,94717097968,"Specialist, HR Business Partner",95500.0,USD,1,range,filled
6604,JR2026512277,Business Integrator Manager,,,0,,malformed_skipped
6688,JR101536,Production Supervisor II,118497.0,USD,1,range,filled
6725,JR10586,Lead Software Engineer-Embedded Computing Software-Onsite,,,0,,malformed_skipped
6747,JR2026510027,Design and Analysis Engineer (Electronic Sys Design & Analy),108000.0,USD,1,range,filled
6797,JR2026500328,Experienced Structural Analysis Engineer,113000.0,USD,1,range,filled
6827,91876209376,"Lead, Project Engineer - Energy Systems",182000.0,USD,1,range,filled
6837,93731657856,Lead Subcontracts,150250.0,USD,1,range,filled
6869,JR109291,Staff/Senior Staff Systems Engineer - Flight Controls,,,0,,malformed_skipped
6970,JR110952,"Director, Intellectual Property",,,0,,malformed_skipped
7118,94454495808,Lead Business Development,174500.0,USD,1,range,filled
7295,5158608007,Senior Electro-Mechanical Test Engineer,,,0,,malformed_skipped
7397,95087265440,Principal Subcontracts,181250.0,USD,1,range,filled
7400,96179150112,Specialist Procurement,104000.0,USD,1,range,filled
7450,JR2026506540,Analog Design Engineer (Experienced or Senior),146500.0,USD,2,range,filled
7586,93458626688,"Principal, Project Manager",,,0,,malformed_skipped
7618,JR110399,Senior Manufacturing Special Process Engineer,,,0,,malformed_skipped
7691,JR2026514487,Systems Engineering (Associate or Experienced),113987.5,USD,2,range,filled
7765,96544398304,"Lead, IT Architecture (SAP Solution Architect) 1",,,0,,malformed_skipped
7766,93467613104,"Specialist (Level 3), Program Finance",109000.0,USD,1,range,filled
7802,JR111181,"Sr Specialist, Trade Compliance",,,0,,malformed_skipped
7854,JR2026513382,Entry-Level Manufacturing Engineer - Harness - 2nd Shift - Millennium Space Systems,103425.0,USD,2,range,filled
8010,JR2026510399,Entry Level Manufacturing Engineer - Harness - 1st Shift - Millennium Space Systems,94500.0,USD,1,range,filled
8017,95336249072,Hardware Leaning Project Engineer,218500.0,USD,1,range,filled
8133,JR110754,Senior Mechanical Engineer (Aerospace Actuation),,,0,,malformed_skipped
8151,95336248816,"Lead, Electrical Engineering - Hardware - Tactical Data Links",182000.0,USD,1,range,filled
8160,95681848640,"Lead, Contracts",157750.0,USD,1,range,filled
8240,JR11236,"Software Development Engineer, Sr",105200.0,USD,1,range,filled
8284,95087265408,"Senior Specialist, Trade Compliance",104000.0,USD,1,range,filled
8384,36077,Mechanical Engineering Director,,,0,,malformed_skipped
8415,JR101153,Manufacturing Engineer II,109287.15,USD,1,range,filled
8654,94834111264,"Manager, Information Security Systems Engineering",,,0,,malformed_skipped
8689,JR109290,Senior Staff Systems Engineer,,,0,,malformed_skipped
8869,96290054608,"Senior Specialist, Aerospace Engineer (Thermal Analysis)",,,0,,malformed_skipped
9242,JR2026511812,Senior Program Manager,,,0,,malformed_skipped
9329,95091824800,"Lead, Software Engineer - Tactical Data Link",192750.0,USD,1,range,filled
9342,95949010208,"Sr. Specialist, Process Manufacturing Engineer",,,0,,malformed_skipped
9407,JR111313,Mechanical Engineer II/Senior,,,0,,malformed_skipped
9501,7774,Senior Systems Engineer,210000.0,USD,1,range,filled
9528,7772,Systems Engineer,146000.0,USD,1,range,filled
9562,JR109645,"Senior Commercial Counsel, Aerospace",,,0,,malformed_skipped
