company,title,job_id,location,country,salary,remote,seniority,us_citizenship_required,security_clearance,relocation_assistance,source_platform,date_posted,scraped_at,apply_url,description_text
Peraton,"External Job Posting Title
Financial Services Budget Analyst- Formulation",167645,,United States of America,,unknown,mid,unknown,unknown,unknown,icims,N/A,2026-06-12T01:15:31.240448+00:00,https://careers-peraton.icims.com/jobs/167645/financial-services-budget-analyst--formulation/job,
Peraton,"External Job Posting Title
Information Assurance and Security",167632,,United States of America,,unknown,mid,unknown,unknown,unknown,icims,N/A,2026-06-12T01:15:31.244000+00:00,https://careers-peraton.icims.com/jobs/167632/information-assurance-and-security/job,
Peraton,"External Job Posting Title
Systems Engineering Technical Task Order (TTO) Lead",167630,,United States of America,,unknown,mid,unknown,unknown,unknown,icims,N/A,2026-06-12T01:15:31.246686+00:00,https://careers-peraton.icims.com/jobs/167630/systems-engineering-technical-task-order-%28tto%29-lead/job,
Peraton,"External Job Posting Title
HUMINT Targeting Specialist – Principal",167629,,United States of America,,unknown,mid,unknown,unknown,unknown,icims,N/A,2026-06-12T01:15:31.249655+00:00,https://careers-peraton.icims.com/jobs/167629/humint-targeting-specialist-%e2%80%93-principal/job,
Peraton,"External Job Posting Title
Targeting Analyst",167623,,United States of America,,unknown,mid,unknown,unknown,unknown,icims,N/A,2026-06-12T01:15:31.252856+00:00,https://careers-peraton.icims.com/jobs/167623/targeting-analyst/job,
Peraton,"External Job Posting Title
Operational Targeteer",167622,,United States of America,,unknown,mid,unknown,unknown,unknown,icims,N/A,2026-06-12T01:15:31.257930+00:00,https://careers-peraton.icims.com/jobs/167622/operational-targeteer/job,
Peraton,"External Job Posting Title
Contracts Administration, Senior Advisor",167619,,United States of America,,unknown,senior,unknown,unknown,unknown,icims,N/A,2026-06-12T01:15:31.260473+00:00,https://careers-peraton.icims.com/jobs/167619/contracts-administration%2c-senior-advisor/job,
Peraton,"External Job Posting Title
Contracts Administration, Senior Advisor",167618,,United States of America,,unknown,senior,unknown,unknown,unknown,icims,N/A,2026-06-12T01:15:31.263130+00:00,https://careers-peraton.icims.com/jobs/167618/contracts-administration%2c-senior-advisor/job,
Peraton,"External Job Posting Title
Technical Project Manager",167617,,United States of America,,unknown,mid,unknown,unknown,unknown,icims,N/A,2026-06-12T01:15:31.265898+00:00,https://careers-peraton.icims.com/jobs/167617/technical-project-manager/job,
Peraton,"External Job Posting Title
Data Administration Coach",167615,,United States of America,,unknown,mid,unknown,unknown,unknown,icims,N/A,2026-06-12T01:15:31.270411+00:00,https://careers-peraton.icims.com/jobs/167615/data-administration-coach/job,
Peraton,"External Job Posting Title
Project Management Support",167612,,United States of America,,unknown,mid,unknown,unknown,unknown,icims,N/A,2026-06-12T01:15:31.273682+00:00,https://careers-peraton.icims.com/jobs/167612/project-management-support/job,
Peraton,"External Job Posting Title
Data Platform Administrator",167610,,United States of America,,unknown,mid,unknown,unknown,unknown,icims,N/A,2026-06-12T01:15:31.277970+00:00,https://careers-peraton.icims.com/jobs/167610/data-platform-administrator/job,
Peraton,"External Job Posting Title
Innovation Lab Technical Lead",167607,,United States of America,,unknown,mid,unknown,unknown,unknown,icims,N/A,2026-06-12T01:15:31.280542+00:00,https://careers-peraton.icims.com/jobs/167607/innovation-lab-technical-lead/job,
Peraton,"External Job Posting Title
Federation/Integration Engineer/UI",167599,,United States of America,,unknown,mid,unknown,unknown,unknown,icims,N/A,2026-06-12T01:15:31.283379+00:00,https://careers-peraton.icims.com/jobs/167599/federation-integration-engineer-ui/job,
Peraton,"External Job Posting Title
Information Assurance and Security",167596,,United States of America,,unknown,mid,unknown,unknown,unknown,icims,N/A,2026-06-12T01:15:31.286625+00:00,https://careers-peraton.icims.com/jobs/167596/information-assurance-and-security/job,
Peraton,"External Job Posting Title
Subcontracts Administration, Senior Advisor",167594,,United States of America,,unknown,senior,unknown,unknown,unknown,icims,N/A,2026-06-12T01:15:31.289113+00:00,https://careers-peraton.icims.com/jobs/167594/subcontracts-administration%2c-senior-advisor/job,
Peraton,"External Job Posting Title
Business Process Analyst - Senior",167593,,United States of America,,unknown,senior,unknown,unknown,unknown,icims,N/A,2026-06-12T01:15:31.292205+00:00,https://careers-peraton.icims.com/jobs/167593/business-process-analyst---senior/job,
Peraton,"External Job Posting Title
Cyber Analyst and Cryptologic Support(Sr.)",167592,,United States of America,,unknown,senior,unknown,unknown,unknown,icims,N/A,2026-06-12T01:15:31.296392+00:00,https://careers-peraton.icims.com/jobs/167592/cyber-analyst-and-cryptologic-support%28sr.%29/job,
