job_id,title,company,location,country,remote,apply_url,description_text,seniority,salary,source_platform,scraped_at
apify-wd-JR100437,Staff Prototype Mechanical Design Engineer,Wisk Aero LLC,"Mountain View, CA",United States of America,unknown,https://wisk.wd108.myworkdayjobs.com/Wisk_Careers/job/Mountain-View-CA/Staff-Prototype-Mechanical-Design-Engineer_JR100437,"At Wisk, we&#39;re transforming the future of urban mobility through safe, all-electric, autonomous flight. We are a passionate team working together toward a sustainable future, solving high-impact p...",Staff,"$148,000 - $186,000 per year",workday,2026-05-04T18:12:40.349Z
apify-wd-JR100418,PLM Process Analyst - NX CAD,Wisk Aero LLC,Remote US,United States of America,yes,https://wisk.wd108.myworkdayjobs.com/Wisk_Careers/job/Remote-US/Expert---PLM---Analyste-Processus-NX-CAD---Expert---PLM---NX-CAD-Process-Analyst_JR100418,"At Wisk, we&#39;re transforming the future of urban mobility through safe, all-electric, autonomous flight. We are a passionate team working together toward a sustainable future, solving high-impact p...",,,workday,2026-05-04T18:12:11.594Z
apify-wd-JR100462,Sr. Staff Software Engineer,Wisk Aero LLC,"Mountain View, CA",United States of America,unknown,https://wisk.wd108.myworkdayjobs.com/Wisk_Careers/job/Mountain-View-CA/Sr-Staff-Software-Engineer_JR100462,"At Wisk, we&#39;re transforming the future of urban mobility through safe, all-electric, autonomous flight. We are a passionate team working together toward a sustainable future, solving high-impact p...",Staff,"$201,000 - $251,000 per year",workday,2026-05-04T18:11:26.004Z
apify-wd-JR100458,Lead IT Support Operations Specialist,Wisk Aero LLC,"Mountain View, CA",United States of America,unknown,https://wisk.wd108.myworkdayjobs.com/Wisk_Careers/job/Mountain-View-CA/Lead-IT-Support-Operations-Specialist_JR100458,"At Wisk, we&#39;re transforming the future of urban mobility through safe, all-electric, autonomous flight. We are a passionate team working together toward a sustainable future, solving high-impact p...",Lead,,workday,2026-05-04T18:12:06.822Z
apify-wd-JR100432,Specialist Aircraft Technician,Wisk Aero LLC,"Hollister, CA",United States of America,unknown,https://wisk.wd108.myworkdayjobs.com/Wisk_Careers/job/Hollister-CA/Specialist-Aircraft-Technician_JR100432,"At Wisk, we&#39;re transforming the future of urban mobility through safe, all-electric, autonomous flight. We are a passionate team working together toward a sustainable future, solving high-impact p...",,,workday,2026-05-04T18:12:51.297Z
apify-lever-88bde014-bbf2-40d6-8c96-bada99d709c9,Components Manufacturing Engineer,Hermeus,"Los Angeles, CA",United States,unknown,https://jobs.lever.co/hermeus/88bde014-bbf2-40d6-8c96-bada99d709c9/apply,Hermeus is a venture-backed defense aviation company reclaiming the lost art of rapid iterative prototyping to build the fastest aircraft in the world today. By prioritizing relentless hardware iterat...,,,lever,2026-05-04T18:14:11.787Z
apify-lever-366fcfca-e4cc-4e91-b9a5-2eca834db32a,Lead Avionics Engineer,Hermeus,"Los Angeles, CA",United States,unknown,https://jobs.lever.co/hermeus/366fcfca-e4cc-4e91-b9a5-2eca834db32a/apply,Hermeus is a venture-backed defense aviation company reclaiming the lost art of rapid iterative prototyping to build the fastest aircraft in the world today. By prioritizing relentless hardware iterat...,Lead,,lever,2026-05-04T18:14:59.836Z
apify-lever-e7dfc67f-53cf-4ae1-a4d3-9695ab6b33a5,GNC Engineer - Navigation & System Integration,Hermeus,"Los Angeles, CA",United States,unknown,https://jobs.lever.co/hermeus/e7dfc67f-53cf-4ae1-a4d3-9695ab6b33a5/apply,Hermeus is a venture-backed defense aviation company reclaiming the lost art of rapid iterative prototyping to build the fastest aircraft in the world today. By prioritizing relentless hardware iterat...,,,lever,2026-05-04T18:14:43.693Z
apify-lever-e4570a11-a4a5-4c11-a11e-71824647ebc5,Mechanical Engineer,Hermeus,"Los Angeles, CA",United States,unknown,https://jobs.lever.co/hermeus/e4570a11-a4a5-4c11-a11e-71824647ebc5/apply,Hermeus is a venture-backed defense aviation company reclaiming the lost art of rapid iterative prototyping to build the fastest aircraft in the world today. By prioritizing relentless hardware iterat...,,,lever,2026-05-04T18:15:09.689Z
apify-lever-f37b02fe-1f02-4aa0-b787-493ffd7a985f,EHS Specialist - Engine Test Operations,Hermeus,"Jacksonville, FL",United States,unknown,https://jobs.lever.co/hermeus/f37b02fe-1f02-4aa0-b787-493ffd7a985f/apply,Hermeus is a venture-backed defense aviation company reclaiming the lost art of rapid iterative prototyping to build the fastest aircraft in the world today. By prioritizing relentless hardware iterat...,,,lever,2026-05-04T18:14:21.648Z
gh-8011702002,Moonshot Engineer,Relativity Space,"Long Beach, California",United States,no,https://boards.greenhouse.io/relativity/jobs/8011702002?gh_jid=8011702002,"&lt;div class=&quot;content-intro&quot;&gt;&lt;p&gt;&lt;span style=&quot;font-family: arial, helvetica, sans-serif; font-size: 10pt;&quot;&gt;At Relativity Space, we’re building rockets to serve today...",,"$144,000",greenhouse,2026-05-14T18:36:32.621878+00:00
gh-8370701002,Staff Structures Engineer,Relativity Space,"Long Beach, California",United States,no,https://boards.greenhouse.io/relativity/jobs/8370701002?gh_jid=8370701002,"&lt;div class=&quot;content-intro&quot;&gt;&lt;p&gt;&lt;span style=&quot;font-family: arial, helvetica, sans-serif; font-size: 10pt;&quot;&gt;At Relativity Space, we’re building rockets to serve today...",,"$184,500",greenhouse,2026-05-14T18:36:32.621878+00:00
gh-8548054002,"Lead, Avionics Test Engineering",Relativity Space,"Long Beach, California",United States,no,https://boards.greenhouse.io/relativity/jobs/8548054002?gh_jid=8548054002,"&lt;div class=&quot;content-intro&quot;&gt;&lt;p&gt;&lt;span style=&quot;font-family: arial, helvetica, sans-serif; font-size: 10pt;&quot;&gt;At Relativity Space, we’re building rockets to serve today...",,"$151,000",greenhouse,2026-05-14T18:36:32.621878+00:00
gh-8419277002,Senior Mechanical Engineer,Relativity Space,"Stennis Space Center, Mississippi",United States,no,https://boards.greenhouse.io/relativity/jobs/8419277002?gh_jid=8419277002,"&lt;div class=&quot;content-intro&quot;&gt;&lt;p&gt;&lt;span style=&quot;font-family: arial, helvetica, sans-serif; font-size: 10pt;&quot;&gt;At Relativity Space, we’re building rockets to serve today...",,"$124,000",greenhouse,2026-05-14T18:36:32.621878+00:00
gh-8463038002,Senior Electrical Engineer,Relativity Space,"Long Beach, California",United States,no,https://boards.greenhouse.io/relativity/jobs/8463038002?gh_jid=8463038002,"&lt;div class=&quot;content-intro&quot;&gt;&lt;p&gt;&lt;span style=&quot;font-family: arial, helvetica, sans-serif; font-size: 10pt;&quot;&gt;At Relativity Space, we’re building rockets to serve today...",,"$146,000",greenhouse,2026-05-14T18:36:32.621878+00:00
gh-7719280003,Development Engineer,Rocket Lab,"Auckland, NZ",United States,no,https://job-boards.greenhouse.io/rocketlab/jobs/7719280003,"&lt;div class=&quot;content-intro&quot;&gt;&lt;p&gt;&lt;strong&gt;ABOUT ROCKET LAB&lt;/strong&gt;&lt;/p&gt; &lt;p&gt;Rocket Lab is an end-to-end space company delivering responsive launch services, co...",,,greenhouse,2026-05-14T18:36:32.621878+00:00
gh-7684442003,Principal Electrical Engineer,Rocket Lab,"Tucson, AZ",United States,no,https://job-boards.greenhouse.io/rocketlab/jobs/7684442003,"&lt;div class=&quot;content-intro&quot;&gt;&lt;p&gt;&lt;strong&gt;ABOUT ROCKET LAB&lt;/strong&gt;&lt;/p&gt; &lt;p&gt;Rocket Lab is an end-to-end space company delivering responsive launch services, co...",,,greenhouse,2026-05-14T18:36:32.621878+00:00
gh-7651349003,Senior Weld Engineer,Rocket Lab,"Long Beach, CA",United States,no,https://job-boards.greenhouse.io/rocketlab/jobs/7651349003,"&lt;div class=&quot;content-intro&quot;&gt;&lt;p&gt;&lt;strong&gt;ABOUT ROCKET LAB&lt;/strong&gt;&lt;/p&gt; &lt;p&gt;Rocket Lab is an end-to-end space company delivering responsive launch services, co...",,"$120,000",greenhouse,2026-05-14T18:36:32.621878+00:00
gh-7646310003,Systems Engineer I/II Pipeline,Rocket Lab,"Long Beach, CA",United States,no,https://job-boards.greenhouse.io/rocketlab/jobs/7646310003,"&lt;div class=&quot;content-intro&quot;&gt;&lt;p&gt;&lt;strong&gt;ABOUT ROCKET LAB&lt;/strong&gt;&lt;/p&gt; &lt;p&gt;Rocket Lab is an end-to-end space company delivering responsive launch services, co...",,"$80,000",greenhouse,2026-05-14T18:36:32.621878+00:00
gh-7640976003,Senior Digital Payload Engineer I/II,Rocket Lab,"Long Beach, CA",United States,no,https://job-boards.greenhouse.io/rocketlab/jobs/7640976003,"&lt;div class=&quot;content-intro&quot;&gt;&lt;p&gt;&lt;strong&gt;ABOUT ROCKET LAB&lt;/strong&gt;&lt;/p&gt; &lt;p&gt;Rocket Lab is an end-to-end space company delivering responsive launch services, co...",,"$130,000",greenhouse,2026-05-14T18:36:32.621878+00:00
gh-7749151,Technical Accounting and SEC Reporting Analyst,Planet Labs,"San Francisco, CA",United States,no,https://job-boards.greenhouse.io/planetlabs/jobs/7749151,"&lt;div class=&quot;content-intro&quot;&gt;&lt;p&gt;&lt;strong&gt;Welcome to Planet. We believe in using space to help life on Earth.&lt;/strong&gt;&lt;/p&gt; &lt;p&gt;Planet designs, builds, and oper...",,"$90,200",greenhouse,2026-05-14T18:36:32.621878+00:00
gh-7625358,Account Executive,Planet Labs,"United States, Remote",,yes,https://job-boards.greenhouse.io/planetlabs/jobs/7625358,"&lt;div class=&quot;content-intro&quot;&gt;&lt;p&gt;&lt;strong&gt;Welcome to Planet. We believe in using space to help life on Earth.&lt;/strong&gt;&lt;/p&gt; &lt;p&gt;Planet designs, builds, and oper...",,"$114,150",greenhouse,2026-05-14T18:36:32.621878+00:00
gh-7774850,Senior Spacecraft Systems Engineer (San Francisco Office),Planet Labs,"San Francisco, CA",United States,no,https://job-boards.greenhouse.io/planetlabs/jobs/7774850,"&lt;div class=&quot;content-intro&quot;&gt;&lt;p&gt;&lt;strong&gt;Welcome to Planet. We believe in using space to help life on Earth.&lt;/strong&gt;&lt;/p&gt; &lt;p&gt;Planet designs, builds, and oper...",,"$162,600",greenhouse,2026-05-14T18:36:32.621878+00:00
gh-7642956,Head of Global Total Rewards,Planet Labs,"Arlington, Virginia",United States,no,https://job-boards.greenhouse.io/planetlabs/jobs/7642956,"&lt;div class=&quot;content-intro&quot;&gt;&lt;p&gt;&lt;strong&gt;Welcome to Planet. We believe in using space to help life on Earth.&lt;/strong&gt;&lt;/p&gt; &lt;p&gt;Planet designs, builds, and oper...",,"$228,700",greenhouse,2026-05-14T18:36:32.621878+00:00
gh-7727892,"Customer Success Manager, U.S. Defense and Intelligence",Planet Labs,"Arlington, VA",United States,no,https://job-boards.greenhouse.io/planetlabs/jobs/7727892,"&lt;div class=&quot;content-intro&quot;&gt;&lt;p&gt;&lt;strong&gt;Welcome to Planet. We believe in using space to help life on Earth.&lt;/strong&gt;&lt;/p&gt; &lt;p&gt;Planet designs, builds, and oper...",,"$83,040",greenhouse,2026-05-14T18:36:32.621878+00:00
apify-gh-8199766002,Aerodynamics Engineer (Starship),SpaceX,"Starbase, TX",United States,unknown,https://boards.greenhouse.io/spacex/jobs/8199766002?gh_jid=8199766002,&lt;div class=&quot;content-intro&quot;&gt;&lt;p&gt;SpaceX was founded under the belief that a future where humanity is out exploring the stars is fundamentally more exciting than one where we are not...,,,greenhouse,2026-05-04T17:56:46.814Z
apify-gh-8218090002,"Automation & Controls Engineer, Launch Pad (Starship)",SpaceX,"Cape Canaveral, FL",United States,unknown,https://boards.greenhouse.io/spacex/jobs/8218090002?gh_jid=8218090002,&lt;div class=&quot;content-intro&quot;&gt;&lt;p&gt;SpaceX was founded under the belief that a future where humanity is out exploring the stars is fundamentally more exciting than one where we are not...,,,greenhouse,2026-05-04T17:58:48.224Z
apify-gh-8302287002,"Assembly Machinist, Deburr (Starship)",SpaceX,"Hawthorne, CA",United States,unknown,https://boards.greenhouse.io/spacex/jobs/8302287002?gh_jid=8302287002,&lt;div class=&quot;content-intro&quot;&gt;&lt;p&gt;SpaceX was founded under the belief that a future where humanity is out exploring the stars is fundamentally more exciting than one where we are not...,,Level 1: $22.00 - $24.00/hour; Level 2: $24.00 - $27.00/hour; Level 3: $26.50 - $30.00/hour,greenhouse,2026-05-04T17:58:05.907Z
apify-gh-8245092002,Automation & Controls Engineer (Starship Production) - Motion Controls,SpaceX,"Starbase, TX",United States,unknown,https://boards.greenhouse.io/spacex/jobs/8245092002?gh_jid=8245092002,&lt;div class=&quot;content-intro&quot;&gt;&lt;p&gt;SpaceX was founded under the belief that a future where humanity is out exploring the stars is fundamentally more exciting than one where we are not...,,,greenhouse,2026-05-04T17:59:10.541Z
apify-gh-8525726002,"Antenna Engineer, Satellites (Starlink)",SpaceX,"Redmond, WA",United States,unknown,https://boards.greenhouse.io/spacex/jobs/8525726002?gh_jid=8525726002,&lt;div class=&quot;content-intro&quot;&gt;&lt;p&gt;SpaceX was founded under the belief that a future where humanity is out exploring the stars is fundamentally more exciting than one where we are not...,,,greenhouse,2026-05-04T17:57:01.731Z
ph-R5025655,Repair Station Associate (Harness) - 2nd shift,GE Aerospace,Relocation Assistance: Relocation Assistance:  No,United States,no,https://careers.geaerospace.com/global/en/job/R5025655/Repair-Station-Associate-Harness-2nd-shift,About UsAbout UsOur CultureOur BenefitsOur BusinessesPhilanthropyLocationsSustainabilityMilitary & VeteransInvesting in ManufacturingSearch & ApplyCareer AreasBusiness Development / ManagementCommunic...,,,phenom,2026-05-14T18:38:11.153368+00:00
ph-R5034200,Lead Finance Specialist - Insurance,GE Aerospace,Available in 2 locations See allSee all,United States,no,https://careers.geaerospace.com/global/en/job/R5034200/Lead-Finance-Specialist-Insurance,About UsAbout UsOur CultureOur BenefitsOur BusinessesPhilanthropyLocationsSustainabilityMilitary & VeteransInvesting in ManufacturingSearch & ApplyCareer AreasBusiness Development / ManagementCommunic...,,,phenom,2026-05-14T18:38:11.153368+00:00
ph-R5030447,Lead Inspection Engineer – Metrology & NDE Level 3,GE Aerospace,Relocation Assistance: Relocation Assistance:  Yes,United States,no,https://careers.geaerospace.com/global/en/job/R5030447/Lead-Inspection-Engineer-Metrology-NDE-Level-3,About UsAbout UsOur CultureOur BenefitsOur BusinessesPhilanthropyLocationsSustainabilityMilitary & VeteransInvesting in ManufacturingSearch & ApplyCareer AreasBusiness Development / ManagementCommunic...,,,phenom,2026-05-14T18:38:11.153368+00:00
ph-R5033221,Technology Director - Advanced Material Systems  - Aerospace Research,GE Aerospace,Relocation Assistance: Relocation Assistance:  Yes,United States,no,https://careers.geaerospace.com/global/en/job/R5033221/Technology-Director-Advanced-Material-Systems-Aerospace-Research,About UsAbout UsOur CultureOur BenefitsOur BusinessesPhilanthropyLocationsSustainabilityMilitary & VeteransInvesting in ManufacturingSearch & ApplyCareer AreasBusiness Development / ManagementCommunic...,,,phenom,2026-05-14T18:38:11.153368+00:00
ph-R5034404,Staż w Biurze Wsparcia Operacji,GE Aerospace,Relocation Assistance: Relocation Assistance:  No,United States,no,https://careers.geaerospace.com/global/en/job/R5034404/Staż-w-Biurze-Wsparcia-Operacji,About UsAbout UsOur CultureOur BenefitsOur BusinessesPhilanthropyLocationsSustainabilityMilitary & VeteransInvesting in ManufacturingSearch & ApplyCareer AreasBusiness Development / ManagementCommunic...,,,phenom,2026-05-14T18:38:11.153368+00:00
ng-1340071348187,Payroll and Timekeeping Director,Northrop Grumman,,United States,no,https://jobs.northropgrumman.com/careers/job/1340071348187,...,,,phenom,2026-05-14T20:55:12.724539+00:00
ng-1340070991442,Systems Administrator (X-Lab) - Level 3 (26-170),Northrop Grumman,,United States,no,https://jobs.northropgrumman.com/careers/job/1340070991442,...,,,phenom,2026-05-14T20:55:12.724539+00:00
ng-1340068065283,Sr. Principal Software Engineer - GWS,Northrop Grumman,,United States,no,https://jobs.northropgrumman.com/careers/job/1340068065283,...,,,phenom,2026-05-14T20:55:12.724539+00:00
ng-1340070860063,Staff Energetics Manufacturing Engineer – Level 5,Northrop Grumman,,United States,no,https://jobs.northropgrumman.com/careers/job/1340070860063,...,,,phenom,2026-05-14T20:55:12.724539+00:00
ng-1340070990945,Director Programs 1 - Launch Silo Integrated Product Team,Northrop Grumman,,United States,no,https://jobs.northropgrumman.com/careers/job/1340070990945,...,,,phenom,2026-05-14T20:55:12.724539+00:00
apify-wd-R0029476,Software Engineer III,Sierra Nevada Corporation,"Lone Tree, CO",United States of America,unknown,https://snc.wd1.myworkdayjobs.com/SNC_External_Career_Site/job/Lone-Tree-CO/Software-Engineer-III_R0029476,"Do you enjoy developing new products and services? Join us! Our Software Engineers work in an agile, collective environment. As a Software Engineer III, you will lead the design, development, and opti...",,,workday,2026-05-04T17:53:22.915Z
apify-wd-R0029828,Mechanical Engineer I,Sierra Nevada Corporation,"Dayton, OH",United States of America,unknown,https://snc.wd1.myworkdayjobs.com/SNC_External_Career_Site/job/Dayton-OH/Mechanical-Engineer-I_R0029828-1,Do you enjoy designing and developing innovative solutions to solve tough problems? Join our team to deliver technological solutions in a rapid and agile production environment. As a Mechanical Engine...,,,workday,2026-05-04T17:54:24.254Z
apify-wd-R0029849,Program Manager I,Sierra Nevada Corporation,"Lone Tree, CO",United States of America,unknown,https://snc.wd1.myworkdayjobs.com/SNC_External_Career_Site/job/Lone-Tree-CO/Program-Manager-I_R0029849,"Are you a results-driven, team-oriented leader? This is the opportunity for you! As a Program Manager I, you will oversee multiple projects to support the business objectives at SNC, ensuring successf...",,,workday,2026-05-04T17:53:18.931Z
apify-wd-R0029834,Sr Systems Engineer,Sierra Nevada Corporation,"Dayton, OH",United States of America,unknown,https://snc.wd1.myworkdayjobs.com/SNC_External_Career_Site/job/Dayton-OH/Sr-Systems-Engineer_R0029834,"Do you pride yourself in being a creative, integrative engineer with a passion for developing revolutionary technical systems in a collaborative and customer-centric environment? Come join our team! A...",Senior,,workday,2026-05-04T17:54:39.423Z
apify-wd-R0029778,Project Manager I - Production Control Account Manager,Sierra Nevada Corporation,"Dayton, OH",United States of America,unknown,https://snc.wd1.myworkdayjobs.com/SNC_External_Career_Site/job/Dayton-OH/Project-Manager-I---Production-Control-Account-Manager_R0029778,"Are you a results-driven, team-oriented leader? This is the opportunity for you! As a Project Manager I, you will manage projects from design through release and program closeout, ensuring successful ...",,,workday,2026-05-04T17:53:04.046Z
apify-wd-R0235649,Agentic AI Machine Learning Engineer,631 Booz Allen Hamilton_United States,5 Locations,United States of America,unknown,https://bah.wd1.myworkdayjobs.com/BAH_Jobs/job/Washington-DC/Agentic-AI-Machine-Learning-Engineer_R0235649,"Agentic AI Machine Learning Engineer The Opportunity: As an experienced machine learning engineer, you understand good sof tware is more than just a good user experience . To compete in today’s techni...",,,workday,2026-05-04T17:49:14.478Z
apify-wd-R0237483,Cloud Engineer,631 Booz Allen Hamilton_United States,"McLean, VA",United States of America,unknown,https://bah.wd1.myworkdayjobs.com/BAH_Jobs/job/McLean-VA/Cloud-Engineer_R0237483,"Cloud Engineer The Opportunity : Everyone is trying to “harness the cloud”, but not everyone knows how. As a cloud computing application architect, you know how to create a cloud-based technical archi...",,"$86,800.00 to $198,000.00 (annualized USD)",workday,2026-05-04T17:48:57.680Z
apify-wd-R0238212,"Power Apps Developer, Mid",631 Booz Allen Hamilton_United States,"Lexington Park, MD",United States of America,unknown,https://bah.wd1.myworkdayjobs.com/BAH_Jobs/job/Lexington-Park-MD/Power-Apps-Developer--Mid_R0238212,"Power Apps Developer, Mid The Opportunity: For an organization to transform in today’s digital world, it needs to properly collect, store, and organize its data. Effective data management can enable m...",,,workday,2026-05-04T17:48:53.880Z
