company,title,job_id,location,country,salary,remote,seniority,us_citizenship_required,security_clearance,relocation_assistance,source_platform,date_posted,scraped_at,apply_url,description_text
L3Harris,"Lead, HR Business Partner",96179150064,"Malabar, FL",United States of America,,onsite,Lead,unknown,unknown,unknown,talentbrew,N/A,2026-06-13T01:06:42Z,https://careers.l3harris.com/en/job/malabar/lead-hr-business-partner/4832/96179150064,
L3Harris,"Specialist, Technical Training",96040458368,"Rochester, NY",United States of America,,onsite,Mid,unknown,unknown,unknown,talentbrew,N/A,2026-06-13T01:06:42Z,https://careers.l3harris.com/en/job/rochester/specialist-technical-training/4832/96040458368,
L3Harris,"Specialist, Multimedia Producer - Photo and Video",95990113824,"Rochester, NY",United States of America,,onsite,Mid,unknown,unknown,unknown,talentbrew,N/A,2026-06-13T01:06:42Z,https://careers.l3harris.com/en/job/rochester/specialist-multimedia-producer-photo-and-video/4832/95990113824,
L3Harris,"Specialist, Motions Graphics Designer",95852668368,"Rochester, NY",United States of America,,onsite,Mid,unknown,unknown,unknown,talentbrew,N/A,2026-06-13T01:06:42Z,https://careers.l3harris.com/en/job/rochester/specialist-motions-graphics-designer/4832/95852668368,
L3Harris,"Senior Specialist, HR Business Partner",95852668416,"Palm Bay, Brevard, FL",United States of America,,onsite,Senior,unknown,unknown,unknown,talentbrew,N/A,2026-06-13T01:06:42Z,https://careers.l3harris.com/en/job/palm-bay/senior-specialist-hr-business-partner/4832/95852668416,
L3Harris,"Senior Associate, Quality Analyst",96353506880,"Camden, AR",United States of America,,onsite,Senior,unknown,unknown,unknown,talentbrew,N/A,2026-06-13T01:06:42Z,https://careers.l3harris.com/en/job/camden/senior-associate-quality-analyst/4832/96353506880,
L3Harris,"Lead, Quality Engineer",96353506864,"Camden, AR",United States of America,,onsite,Lead,unknown,unknown,unknown,talentbrew,N/A,2026-06-13T01:06:42Z,https://careers.l3harris.com/en/job/camden/lead-quality-engineer/4832/96353506864,
L3Harris,"Lead Analyst, SAP Contracts to Cash",96304034256,Multiple Locations,United States of America,,onsite,Lead,unknown,unknown,unknown,talentbrew,N/A,2026-06-13T01:06:42Z,https://careers.l3harris.com/en/job/melbourne/lead-analyst-sap-contracts-to-cash/4832/96304034256,
L3Harris,"Lead, Program Management",96169231392,"Colorado Springs, CO",United States of America,,onsite,Lead,unknown,unknown,unknown,talentbrew,N/A,2026-06-13T01:06:42Z,https://careers.l3harris.com/en/job/colorado-springs/lead-program-management/4832/96169231392,
L3Harris,"Specialist, Software Engineering (AWS Cloud)",96322459600,"Melbourne, FL",United States of America,,onsite,Mid,unknown,unknown,unknown,talentbrew,N/A,2026-06-13T01:06:42Z,https://careers.l3harris.com/en/job/melbourne/specialist-software-engineering-aws-cloud/4832/96322459600,
