company,title,job_id,location,country,salary,remote,seniority,us_citizenship_required,security_clearance,relocation_assistance,source_platform,date_posted,scraped_at,apply_url,description_text
Vantor,Full Stack Software Development Engineer,R24022,"Herndon, VA",United States of America,,onsite,mid,unknown,unknown,unknown,workday,,2026-06-07T19:34:40.832455+00:00,https://maxar.myworkdayjobs.com/job/Herndon-VA/Full-Stack-Software-Development-Engineer_R24022,
Vantor,Senior Executive Assistant to the CEO,R23553,"Westminster, CO",United States of America,,onsite,senior,unknown,unknown,unknown,workday,,2026-06-07T19:34:40.832483+00:00,https://maxar.myworkdayjobs.com/job/Westminster-CO/Sr-Executive-Assistant_R23553,
Vantor,Sr. Staff Space-Based Communications Systems Engineer,R23971,"Westminster, CO",United States of America,,onsite,lead,unknown,unknown,unknown,workday,,2026-06-07T19:34:40.832495+00:00,https://maxar.myworkdayjobs.com/job/Westminster-CO/Optical-Comms-Space-Systems-Engineer_R23971,
Vantor,Senior Geospatial Analyst | Team Lead (TS/SCI),R24009,"Tampa, FL",United States of America,,onsite,lead,unknown,unknown,unknown,workday,,2026-06-07T19:34:40.832504+00:00,https://maxar.myworkdayjobs.com/job/Tampa-FL/Senior-Geospatial-Analyst---Team-Lead--TS-SCI-_R24009,
Vantor,Senior Customer Success Associate,R23615,Singapore,United States of America,,onsite,senior,unknown,unknown,unknown,workday,,2026-06-07T19:34:40.832514+00:00,https://maxar.myworkdayjobs.com/job/Singapore/Senior-Customer-Success-Associate_R23615,
Vantor,AI/ML Engineer,R23990,"McLean, VA",United States of America,,onsite,mid,unknown,unknown,unknown,workday,,2026-06-07T19:34:40.832524+00:00,https://maxar.myworkdayjobs.com/job/McLean-VA/AI-ML-Engineer_R23990,
Vantor,AI/ML Engineer,R23991,"McLean, VA",United States of America,,onsite,mid,unknown,unknown,unknown,workday,,2026-06-07T19:34:40.832534+00:00,https://maxar.myworkdayjobs.com/job/McLean-VA/AI-ML-Engineer_R23991-1,
Vantor,Cloud Infrastructure Engineer (Secret),R23959,2 Locations,United States of America,,onsite,mid,unknown,unknown,unknown,workday,,2026-06-07T19:34:40.832544+00:00,https://maxar.myworkdayjobs.com/job/Westminster-CO/Cloud-Infrastructure-Engineer--Secret-_R23959,
Vantor,Senior Software Test Engineer,R24007,2 Locations,United States of America,,onsite,senior,unknown,unknown,unknown,workday,,2026-06-07T19:34:40.832553+00:00,https://maxar.myworkdayjobs.com/job/Herndon-VA/Senior-Software-Test-Engineer_R24007,
Vantor,Mission Director (Secret Clearance),R23982,"Longmont, CO",United States of America,,onsite,director,unknown,unknown,unknown,workday,,2026-06-07T19:34:40.832561+00:00,https://maxar.myworkdayjobs.com/job/Longmont-CO/Mission-Director--Secret-Clearance-_R23982,
Vantor,Full Stack Developer,R23988,"McLean, VA",United States of America,,onsite,mid,unknown,unknown,unknown,workday,,2026-06-07T19:34:40.832570+00:00,https://maxar.myworkdayjobs.com/job/McLean-VA/Full-Stack-Developer_R23988,
Vantor,Sr. Payload Systems Engineer,R23587,"Westminster, CO",United States of America,,onsite,senior,unknown,unknown,unknown,workday,,2026-06-07T19:34:40.832579+00:00,https://maxar.myworkdayjobs.com/job/Westminster-CO/Sr-Payload-Systems-Engineer_R23587,
Vantor,Senior Satellite Engineer - Avionics and Electrical Engineer,R23585,"Westminster, CO",United States of America,,onsite,senior,unknown,unknown,unknown,workday,,2026-06-07T19:34:40.832588+00:00,https://maxar.myworkdayjobs.com/job/Westminster-CO/Senior-Satellite-Avionics-and-Electrical-Engineer_R23585,
Vantor,Senior Satellite Systems Engineer,R23584,"Westminster, CO",United States of America,,onsite,senior,unknown,unknown,unknown,workday,,2026-06-07T19:34:40.832596+00:00,https://maxar.myworkdayjobs.com/job/Westminster-CO/Senior-Satellite-Systems-Thermal-and-Structural-Engineering-Analyst_R23584-1,
Vantor,Systems Engineer Advancing Spatial Intelligence,R23633,Linköping,United States of America,,onsite,mid,unknown,unknown,unknown,workday,,2026-06-07T19:34:40.832607+00:00,https://maxar.myworkdayjobs.com/job/Linkping/Systems-Engineer-Advancing-Spatial-Intelligence_R23633,
Vantor,Software Developers Advancing Spatial Intelligence,R23754,Linköping,United States of America,,onsite,mid,unknown,unknown,unknown,workday,,2026-06-07T19:34:40.832617+00:00,https://maxar.myworkdayjobs.com/job/Linkping/Software-Developers-Advancing-Spatial-Intelligence_R23754,
Vantor,Radiometric Calibration Engineer,R23944,"Longmont, CO",United States of America,,onsite,mid,unknown,unknown,unknown,workday,,2026-06-07T19:34:40.832626+00:00,https://maxar.myworkdayjobs.com/job/Longmont-CO/Radiometric-Calibration-Engineer_R23944,
Vantor,DevSecOps Engineer (TS/SCI),R23983,"Herndon, VA",United States of America,,onsite,mid,unknown,unknown,unknown,workday,,2026-06-07T19:34:40.832636+00:00,https://maxar.myworkdayjobs.com/job/Herndon-VA/DevSecOps-Engineer--TS-SCI-_R23983,
Vantor,AI&T Manager,R23586,"Westminster, CO",United States of America,,onsite,mid,unknown,unknown,unknown,workday,,2026-06-07T19:34:40.832645+00:00,https://maxar.myworkdayjobs.com/job/Westminster-CO/AI-T-Manager_R23586,
Vantor,"Director, DevOps and Mission Infrastructure",R23964,"Westminster, CO",United States of America,,onsite,director,unknown,unknown,unknown,workday,,2026-06-07T19:34:40.832653+00:00,https://maxar.myworkdayjobs.com/job/Westminster-CO/Director--DevOps-and-Mission-Infrastructure_R23964,
Vantor,DevOps Engineer (TS/SCI),R23970,6 Locations,United States of America,,onsite,mid,unknown,unknown,unknown,workday,,2026-06-07T19:34:40.832663+00:00,https://maxar.myworkdayjobs.com/job/Colorado-Springs-CO/Devops-Engineer_R23970,
Vantor,"Account Executive, USSOCOM (TS/SCI)",R23882,"Herndon, VA",United States of America,,onsite,mid,unknown,unknown,unknown,workday,,2026-06-07T19:34:40.832672+00:00,https://maxar.myworkdayjobs.com/job/Herndon-VA/Account-Executive--USSOCOM--TS-SCI-_R23882,
Vantor,HR Business Partner Specialist,R23956,"Westminster, CO",United States of America,,onsite,mid,unknown,unknown,unknown,workday,,2026-06-07T19:34:40.832682+00:00,https://maxar.myworkdayjobs.com/job/Westminster-CO/HR-Business-Partner-Specialist_R23956,
Vantor,Mid-level Imagery Analyst (Data Annotation),R23913,"(Customer Site) Falls Church, VA",United States of America,,onsite,mid,unknown,unknown,unknown,workday,,2026-06-07T19:34:40.832703+00:00,https://maxar.myworkdayjobs.com/job/Customer-Site-Falls-Church-VA/Senior-Imagery-Analyst--Data-Annotation-_R23913,
Vantor,HR Manager,R23962,Linköping,United States of America,,onsite,mid,unknown,unknown,unknown,workday,,2026-06-07T19:34:40.832713+00:00,https://maxar.myworkdayjobs.com/job/Linkping/HR-Manager_R23962,
Vantor,Software Engineer (TS/SCI),R23894,"Melbourne, FL",Australia,,onsite,mid,unknown,unknown,unknown,workday,,2026-06-07T19:34:40.832724+00:00,https://maxar.myworkdayjobs.com/job/Melbourne-FL/Software-Engineer_R23894,
Vantor,Software Engineer (TS/SCI),R23087,"Melbourne, FL",Australia,,onsite,mid,unknown,unknown,unknown,workday,,2026-06-07T19:34:40.832734+00:00,https://maxar.myworkdayjobs.com/job/Melbourne-FL/Software-Engineer_R23087-1,
Vantor,Staff Product Designer,R23933,"Westminster, CO",United States of America,,onsite,lead,unknown,unknown,unknown,workday,,2026-06-07T19:34:40.832742+00:00,https://maxar.myworkdayjobs.com/job/Westminster-CO/Staff-Product-Designer_R23933,
Vantor,Software Development Engineer,R23921,"Westminster, CO",United States of America,,onsite,mid,unknown,unknown,unknown,workday,,2026-06-07T19:34:40.832752+00:00,https://maxar.myworkdayjobs.com/job/Westminster-CO/Senior-Software-Development-Engineer_R23921,
